loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_plx
284,GQ Lup b,GQ Lup,b,1,1,Imaging,2004,0,,100,33.6,3,6356,20,Mass,,,2650,,K7e V,4360,1.94,0.7,-0.072,151.169,6.58678
285,GSC 06214-00210 b,GSC 06214-00210,b,1,1,Imaging,2010,0,,320,20.176,1.8,5000,16,Mass,,,2300,,K7,4200,0.9,0.9,-0.42,108.5,9.18797
286,GU Psc b,GU Psc,b,1,1,Imaging,2014,0,,2000,14.179,1.265,3591.3,11.3,Mass,,,1050,,M3,4031.81,0.45,0.33,-1.602,47.5501,21.0019
287,Gl 378 b,Gl 378,b,1,1,Radial Velocity,2019,0,3.822,0.039435,3.66,0.327,13.02,0.04097,Msini,0.109,,830,,M1,3879,0.56,0.56,-1.222,14.9545,66.8407
288,Gl 49 b,Gl 49,b,2,1,Radial Velocity,2019,0,13.8508,0.0905,2.24,0.2,5.63,0.01771,Msini,0.363,,,,M1.5 V,3805,0.51,0.52,-1.306,9.8528,101.465
289,Gl 686 b,Gl 686,b,1,1,Radial Velocity,2018,0,15.53,0.091,2.46,0.22,6.624,0.02084,Msini,0.05,,379,,M1.0 V,3656,0.43,0.43,-1.53,8.15728,122.561
290,HAT-P-1 b,HAT-P-1,b,2,1,Transit,2006,0,4.46529976,0.05561,14.785,1.319,166.86075,0.525,Mass,0,,1322,85.634,G0 V,5980,1.17,1.15,0.225,158.979,6.26153
291,HAT-P-11 b,HAT-P-11,b,1,2,Transit,2008,0,4.88780244,0.05254,4.36,0.389,26.69772,0.084,Mass,0.218,100.77,838,89.36,K4,4780,0.68,0.81,-0.567,37.7647,26.4508
292,HAT-P-11 c,HAT-P-11,c,1,2,Radial Velocity,2018,0,3407,4.13,13.3,1.19,731.009,2.3,Mass,0.601,,,135.7,K4,4780,0.68,0.81,-0.564,37.7647,26.4508
293,HAT-P-12 b,HAT-P-12,b,1,1,Transit,2009,0,3.2130598,0.0384,10.749,0.959,67.059,0.211,Mass,0,,963,89,K4,4650,0.7,0.73,-0.678,142.751,6.97632
294,HAT-P-13 b,HAT-P-13,b,1,2,Transit,2009,0,2.91625,0.04383,14.258,1.272,270.462,0.851,Mass,0.0133,,1740,83.4,G4,5653,1.76,1.32,0.346,246.81,4.02313
295,HAT-P-13 c,HAT-P-13,c,1,2,Radial Velocity,2009,0,446.27,1.258,12.3,1.1,4538.421,14.28,Msini,0.6616,,340,,G4,5653,1.76,1.32,0.346,246.81,4.02313
296,HAT-P-14 b,HAT-P-14,b,2,1,Transit,2010,0,4.62767,0.0596,15.917,1.42,1093.3352,3.44,Mass,0.11,,1624,83.5,F5 V,6600,1.82,2.65,0.644,222.663,4.46233
297,HAT-P-15 b,HAT-P-15,b,1,1,Transit,2010,0,10.8635,0.0965,11.882,1.06,616.5902,1.94,Mass,0.19,,904,89.1,G5,5568,1.07,1,0,192.516,5.16638
298,HAT-P-16 b,HAT-P-16,b,3,1,Transit,2010,0,2.77596,0.0413,14.448,1.289,1332.605,4.193,Mass,0.036,,1626,86.6,F8,6158,1.24,1.22,0.294,226.637,4.38591
299,HAT-P-17 b,HAT-P-17,b,1,2,Transit,2010,0,10.33852,0.0882,11.769,1.05,184.3414,0.58,Mass,0.35,,792,89.2,K,5246,0.87,0.99,-0.289,92.3831,10.796
300,HAT-P-17 c,HAT-P-17,c,1,2,Radial Velocity,2010,0,5584,5.6,13.1,1.17,1080.6,3.4,Msini,0.39,,,,K,5336.96,0.84,0.92,-0.289,92.3831,10.796
301,HAT-P-18 b,HAT-P-18,b,1,1,Transit,2010,0,5.508023,0.0559,11.153,0.995,62.61,0.197,Mass,0.084,,852,88.8,K2,4803,0.75,0.77,-0.569,161.4,6.16693
302,HAT-P-19 b,HAT-P-19,b,1,1,Transit,2010,0,4.008778,0.0466,12.689,1.132,92.802,0.292,Mass,0.067,,1010,88.2,K1,4990,0.82,0.84,-0.432,202.078,4.91998
303,HAT-P-2 b,HAT-P-2,b,1,1,Transit,2007,0,5.6335158,0.06814,10.66,0.951,2765.121,8.7,Mass,0.5172,,1540,86.16,F8,6380,1.39,1.33,0.53,127.774,7.79749
304,HAT-P-20 b,HAT-P-20,b,1,1,Transit,2010,0,2.875317,0.0361,9.718,0.867,2302.899,7.246,Mass,0.015,,970,86.8,K3,4595,0.69,0.76,-0.721,71.0374,14.0483
305,HAT-P-21 b,HAT-P-21,b,1,1,Transit,2010,0,4.12448,0.0494,12.442,1.11,1547.8321,4.87,Mass,0.23,,1283,87.2,G3,5588,1.21,1.24,0.025,277.278,3.57807
306,HAT-P-22 b,HAT-P-22,b,2,1,Transit,2010,0,3.21222,0.0414,12.89,1.15,785.0401,2.47,Mass,0.02,,1463,86.9,G5 V,5302,1.11,1.13,-0.114,81.7647,12.2014
